JobCode,Name
JOB-0001,Software Engineer
JOB-0002,Senior Software Engineer
JOB-0003,Staff Engineer
JOB-0004,Principal Engineer
JOB-0005,Engineering Manager
JOB-0006,Product Manager
JOB-0007,Senior Product Manager
JOB-0008,Data Analyst
JOB-0009,Data Scientist
JOB-0010,DevOps Engineer
JOB-0011,QA Engineer
JOB-0012,UX Designer
JOB-0013,UI Designer
JOB-0014,Technical Writer
JOB-0015,Scrum Master
JOB-0016,Business Analyst
JOB-0017,HR Specialist
JOB-0018,Recruiter
JOB-0019,Finance Analyst
JOB-0020,Accountant
JOB-0021,Marketing Manager
JOB-0022,Sales Representative
JOB-0023,Customer Success Manager
JOB-0024,Support Specialist
JOB-0025,IT Administrator
JOB-0026,Security Engineer
JOB-0027,Network Engineer
JOB-0028,Database Administrator
JOB-0029,Cloud Architect
JOB-0030,Solutions Architect
JOB-0031,Software Engineer
JOB-0032,Senior Software Engineer
JOB-0033,Staff Engineer
JOB-0034,Principal Engineer
JOB-0035,Engineering Manager
JOB-0036,Product Manager
JOB-0037,Senior Product Manager
JOB-0038,Data Analyst
JOB-0039,Data Scientist
JOB-0040,DevOps Engineer
JOB-0041,QA Engineer
JOB-0042,UX Designer
JOB-0043,UI Designer
JOB-0044,Technical Writer
JOB-0045,Scrum Master
JOB-0046,Business Analyst
JOB-0047,HR Specialist
JOB-0048,Recruiter
JOB-0049,Finance Analyst
JOB-0050,Accountant
JOB-0051,Marketing Manager
JOB-0052,Sales Representative
JOB-0053,Customer Success Manager
JOB-0054,Support Specialist
JOB-0055,IT Administrator
JOB-0056,Security Engineer
JOB-0057,Network Engineer
JOB-0058,Database Administrator
JOB-0059,Cloud Architect
JOB-0060,Solutions Architect
JOB-0061,Software Engineer
JOB-0062,Senior Software Engineer
JOB-0063,Staff Engineer
JOB-0064,Principal Engineer
JOB-0065,Engineering Manager
JOB-0066,Product Manager
JOB-0067,Senior Product Manager
JOB-0068,Data Analyst
JOB-0069,Data Scientist
JOB-0070,DevOps Engineer
JOB-0071,QA Engineer
JOB-0072,UX Designer
JOB-0073,UI Designer
JOB-0074,Technical Writer
JOB-0075,Scrum Master
JOB-0076,Business Analyst
JOB-0077,HR Specialist
JOB-0078,Recruiter
JOB-0079,Finance Analyst
JOB-0080,Accountant
,Marketing Manager
,Sales Representative
,Customer Success Manager
,Support Specialist
,IT Administrator
,Security Engineer
,Network Engineer
,Database Administrator
,Cloud Architect
,Solutions Architect
   ,Software Engineer
   ,Senior Software Engineer
   ,Staff Engineer
   ,Principal Engineer
   ,Engineering Manager
,
,
,
,
,
